geocoes:name,geocies:name,geocies:zipCode,geocies:idStat,geocigres:name,geon3es:name,geon2es:name,geocoes:idIso,geon3es:idIso,geon3es:idStat,geon2es:idIso,geon2es:idStat,geocoes:statisticalInstitute,geo_borough:name
España,Sant Cugat Del Vallès,8172,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cugat Del Vallès,8173,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cugat Del Vallès,8174,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Collsuspina,8178,,Osona,Barcelona,Catalunya,ES,ES-B,,,,,
España,Moià,8180,,Bages,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sentmenat,8181,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Feliu De Codines,8182,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Castellcir,8183,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Castellterçol,8183,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Granera,8183,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Palau-Solità I Plegamans,8184,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Lliçà De Vall,8185,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,El Pla (Lliça De Vall),8185,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Lliçà D'Amunt,8186,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,El Boanire,8187,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,El Rieral,8187,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,La Sagrera,8187,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Santa Eulàlia De Ronçana,8187,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,El Serrat,8187,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Vallromanes,8188,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Quirze Safaja,8189,,Vallès Oriental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cugat Del Vallès,8190,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Rubí,8191,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Quirze Del Vallès,8192,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Bellaterra,8193,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,"Fonts, Les (Sant Quirze Del Valles)",8194,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cugat Del Vallès,8195,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cugat Del Vallès,8196,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cugat Del Vallès,8197,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sant Cugat Del Vallès,8198,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Montserrat,8199,,Bages,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sabadell,8200,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
España,Sabadell,8201,,Vallès Occidental,Barcelona,Catalunya,ES,ES-B,,,,,
