№,Province,District,Sub-District,Neighbourhood,Zip Code,tkgeo_country:idIso,geocotk:idIso
1427,ADIYAMAN,SİNCİK,MERKEZKÖYLER,HÜSEYİNLİ KÖYÜ,02900,TK,TK
1428,ADIYAMAN,SİNCİK,MERKEZKÖYLER,KARAKÖSE KÖYÜ,02900,TK,TK
1429,ADIYAMAN,SİNCİK,MERKEZKÖYLER,NARLI KÖYÜ,02900,TK,TK
1430,ADIYAMAN,SİNCİK,MERKEZKÖYLER,PINARBAŞI KÖYÜ,02900,TK,TK
1431,ADIYAMAN,SİNCİK,MERKEZKÖYLER,SAKIZ KÖYÜ,02900,TK,TK
1432,ADIYAMAN,SİNCİK,MERKEZKÖYLER,SERİNCE KÖYÜ,02900,TK,TK
1433,ADIYAMAN,SİNCİK,MERKEZKÖYLER,SÖĞÜTLÜBAHÇE KÖYÜ,02900,TK,TK
1434,ADIYAMAN,SİNCİK,MERKEZKÖYLER,SUBAŞI KÖYÜ,02900,TK,TK
1435,ADIYAMAN,SİNCİK,MERKEZKÖYLER,ŞAHİNBEYLER KÖYÜ,02900,TK,TK
1436,ADIYAMAN,SİNCİK,MERKEZKÖYLER,ŞAHKULU KÖYÜ,02900,TK,TK
1437,ADIYAMAN,SİNCİK,MERKEZKÖYLER,TAŞKALE KÖYÜ,02900,TK,TK
1438,ADIYAMAN,SİNCİK,MERKEZKÖYLER,UĞURLU KÖYÜ,02900,TK,TK
1439,ADIYAMAN,SİNCİK,MERKEZKÖYLER,YARPUZLU KÖYÜ,02900,TK,TK
1440,ADIYAMAN,SİNCİK,SİNCİK,AYENGİN MAH.,02900,TK,TK
1441,ADIYAMAN,SİNCİK,SİNCİK,CUMURİYET MAH.,02900,TK,TK
1442,ADIYAMAN,SİNCİK,SİNCİK,FATİH MAH.,02900,TK,TK
1443,ADIYAMAN,SİNCİK,SİNCİK,KARAMAN MAH.,02900,TK,TK
1444,ADIYAMAN,SİNCİK,SİNCİK,MAHMUTOĞLU MAH.,02900,TK,TK
1445,ADIYAMAN,SİNCİK,SİNCİK,ONUR MAH.,02900,TK,TK
1446,ADIYAMAN,SİNCİK,SİNCİK,ZEYNALARSLAN MAH.,02900,TK,TK
1447,ADIYAMAN,TUT,MERKEZKÖYLER,AKÇATEPE KÖYÜ,02350,TK,TK
1448,ADIYAMAN,TUT,MERKEZKÖYLER,BOYUNDERE KÖYÜ,02350,TK,TK
1449,ADIYAMAN,TUT,MERKEZKÖYLER,ÇİFTLİKKÖY KÖYÜ,02350,TK,TK
1450,ADIYAMAN,TUT,MERKEZKÖYLER,ELÇİLER KÖYÜ,02350,TK,TK
1451,ADIYAMAN,TUT,MERKEZKÖYLER,HAVUTLU KÖYÜ,02350,TK,TK
1452,ADIYAMAN,TUT,MERKEZKÖYLER,KAŞLICA KÖYÜ,02350,TK,TK
1453,ADIYAMAN,TUT,MERKEZKÖYLER,KÖSELİ KÖYÜ,02350,TK,TK
1454,ADIYAMAN,TUT,MERKEZKÖYLER,MERYEMUŞAĞI KÖYÜ,02350,TK,TK
1455,ADIYAMAN,TUT,MERKEZKÖYLER,ÖĞÜTLÜ KÖYÜ,02350,TK,TK
1456,ADIYAMAN,TUT,MERKEZKÖYLER,TEPECİK KÖYÜ,02350,TK,TK
1457,ADIYAMAN,TUT,MERKEZKÖYLER,ÜNLÜCE KÖYÜ,02350,TK,TK
1458,ADIYAMAN,TUT,MERKEZKÖYLER,YALANKOZ KÖYÜ,02350,TK,TK
1459,ADIYAMAN,TUT,MERKEZKÖYLER,YAYLIMLI KÖYÜ,02350,TK,TK
1460,ADIYAMAN,TUT,MERKEZKÖYLER,YEŞİLYURT KÖYÜ,02350,TK,TK
1461,ADIYAMAN,TUT,TUT,AYNİYE MAH.,02350,TK,TK
1462,ADIYAMAN,TUT,TUT,BULANIK MAH.,02350,TK,TK
1463,ADIYAMAN,TUT,TUT,CUMURİYET MAH.,02350,TK,TK
1464,ADIYAMAN,TUT,TUT,ÇAMLICA MAH.,02350,TK,TK
1465,ADIYAMAN,TUT,TUT,FETHİYE MAH.,02350,TK,TK
1466,ADIYAMAN,TUT,TUT,GENİ MAH.,02350,TK,TK
1467,ADIYAMAN,TUT,TUT,REŞADİYE MAH.,02350,TK,TK
1468,ADIYAMAN,TUT,TUT,SALAH MAH.,02350,TK,TK
